Cabochard ;Lucas Simon-Meslet 
Zeus ;Choi Woo-je 
Burdol ;Noh Tae-yoon 
Flandre ;Li Xuanjun
Doran ;Choi Hyeon-joon 
Armut ;Tükek İrfan-Berk 
Xiaohu ;Li Yuanhao 
Summit ;Park Woo-tae 
Morgan ;Lee Dong-ju  
Odoamne ;Andrei Pascul
Alphari ;Barney Morris 
Adam ;Maanane Adam 
SLT ;Enzo Gonzalez 
Wunder ;Martin Hansen 
Dreedy ;Jakub Viceník 
Color ;Sebastian Czyżyk 
Eyliph ;Cédric Robert 
Huni ;Heo Seung-hoon 
Ssumday ;Kim Chan-ho 
Revenge ;Kaddoura Mohamed 
Alphari ;Barney Morris 
Impact ;Jeong Eon-Young
Canna ;Kim Chang-dong 
BoWen ;Zhang Yuan 
113 ;Doğukan Balcı 
Oner ;Moon Hyeon-joon 
Canyon ;Kim Geon-bu 
Jiejie ;Zhao Lijie 
Peanut ;Han Wang-ho 
Ely ;alla Javier-Prades 
Wei ;Yan Yangwei 
Blader ;Huang Robert 
Willer ;Kim Jeong-hyeon 
Inspired ;Kacper Słoma
Wisdom ;Kim Tae-wan 
Bwipo ;Rau Gabriël
Selfmade ;Oskar Boderek 
Jankos ;Marcin Jankowski 
Hades ;Maik Jonker 
Bruness ;Bruno Freund 
Djoko ;Charly Guillard 
Spica ;Lu Mingyi 
Closer ;Çelik Can 
Xerxe ;Dragomir Andrei 
Santorin ;Lucas Tao-Kilmer 
Contractz ;Juan Arturo-Garcia
Dread ;Lee Jin-hyeok 
Beige ;Chen Long 
Saken ;Lucas Fayard 
Faker ;Lee Sang-hyeok 
ShowMaker ;Heo Su 
Scout ;Lee Ye-chan 
Chovy ;Jeong Ji-hoon 
Humanoid ;Brázda Marek 
Cryin ;Yuan Chengwei 
Fudge ;Allami Ibrahim
Chovy ;Jeong Ji-hoon 
Larssen ;Emil Larsson 
SELFIE ;Marcin Wolski 
Nisqy ;Dinçer Yasin
LIDER ;Adam Ilyasov 
Caps ;Rasmus Winther 
Baca ;João-Miguel Novais-Bigas 
Czajek ;Mateusz Czajka 
Scarlet ;Marcel Wiederhofer 
PowerOfEvil ;Schrage Tristan  
Abbedagge ;Braun Felix 
Insanity ;Challe David 
Jensen ;Nicolaj Jensen 
Jiizuke ;Daniele Di-Mauro
Bdd ;Gwak Bo-seong 
Erha ;Shi Xu-Ye 
 Rekkles ;Martin Larsson 
Gumayusi ;Lee Min-hyeong 
deokdam ;Seo Dae-gil 
Viper ;Park Do-hyeon 
Ruler ;Park Jae-hyuk 
Carzzy ;Orság Matyáš  
GALA ;Chen Wei 
Berserker ;Kim Min-cheol 
Deft ;Kim Hyuk-kyu 
Hans sama ;Steven Liv 
Yuuki60 ;Florent Soler 
Bean ;Schmitz Louis
Comp ;Markos Stamkopoulos 
Rekkles ;Martin Larsson 
Raffita ;Rafa Ayllón-Zapata 
Odi11 ;Adrian Kruk 
Asza ;Patrick Jacobs 
Lost ;Hui Lawrence 
FBI ;Huang Ian-Victor 
Raes ;Korebrits Quin 
Tactical ;Edward Ra 
Danny ;Kyle Sakamaki
Ghost ;Jang Yong-jun
Uneasy ;Liu Xu-Chun
Hantera ;Jules Bourgeois
Keria ;Ryu Min-seok
Kellin ;Kim Hyeong-gyu
Meiko ;Tian Ye
Lehends ;Son Si-woo
Kaiser ;Kaiser Norman
Ming ;Shi Senming
Winsome ;Kim Dong-keon
Vsta ;Oh Hyo-seong
Trymbi ;Adrian Trybus
Dreams ;Han Min-kook
Hylissang ;Galabov Zdravets
Labrov ;Labros Papoutsakis
Mikyx ;Mihael Mehle
Hantera ;Jules Bourgeois
KubYD ;Jakub Grobelny
Steeelback ;Pierre Medjaldi
SwordArt ;Hu Shuo-chieh
Huhi ;Choi Jae-hyun
Destiny ;Shaw Mitchell
CoreJJ ;Jo Yong-in
IgNar ;Lee Dong-geun
Effort ;Lee Sang-ho
feeling ;Lin Jin-Yuan
